x	y
2.7366656	0.971087686
2.56217183	0.482989404
8.96526296	1.15190949
3.50825938	1.26457365
2.694084	0.869212502
6.51175706	1.66109176
4.89674309	-1.8344332
9.76174918	2.01863355
7.28973024	-0.539700704
2.48853329	0.144567205
9.43275885	2.3707269
8.94807766	0.931733758
0.670787503	-0.301686135
3.89590084	0.167575497
3.4989771	1.32779211
8.47881088	-0.617074504
2.97104075	1.31593904
8.64993955	0.0746192816
0.661369866	0.24596665
5.90957768	1.55610746
9.41217077	2.39173931
4.68454328	-2.05136796
5.38955242	-0.111885659
6.36909376	2.02434947
6.67550517	1.10924657
2.12237144	-0.606666782
6.42428946	1.74418614
2.86083438	0.988064899
3.98142117	-0.150866124
5.61061439	0.458992567
1.52754637	-1.10838777
3.0990852	1.46800826
6.69169093	1.07550811
3.1220811	1.29476615
2.09478752	-0.634381651
4.15100754	-0.782674831
6.02090343	1.85754968
9.22618026	2.3692401
8.59581042	-0.674142709
5.67219666	0.528528503
3.04986268	1.26436039
0.576240706	-0.165781632
7.93444056	-1.82142135
9.76261897	1.8060077
3.63769191	0.781092809
5.89169743	1.408424
2.54488813	1.00387322
3.39352521	1.11435665
6.96218675	0.712528498
3.76932599	0.317614567
6.12059867	1.54898919
0.532690828	0.0763675347
2.98076558	1.37054822
8.1587116	-1.88025323
4.59305229	-1.65567469
7.43360563	-0.884331728
6.28907465	1.96988236
5.0366305	-1.41713974
2.49826477	0.304096717
3.28259809	1.61572847
0.268171226	0.0367578396
5.81045025	0.775526144
3.90245435	0.378084115
7.61040143	-1.8261629
7.21830854	-0.381013361
5.23420954	-1.07392742
5.96801379	1.37796204
7.84778246	-2.34619101
3.58061663	1.15197534
9.34251211	2.26722827
3.42312566	1.29525621
4.45425725	-1.62848458
6.61842988	1.30336946
5.57318613	0.482143384
7.30252699	-1.43577787
3.92156642	0.17282179
3.6376643	0.770624464
7.41447453	-1.83609219
2.70947469	1.08485812
6.48796079	2.03591137
7.34858965	-1.08053566
2.37784402	-0.186265158
0.211209925	0.433736578
3.2053627	1.57920921
7.08041842	-0.0646213359
6.56739377	2.02409073
6.30875558	2.01829044
5.59496127	0.606986774
9.86210988	1.73857777
1.33318423	-1.00056956
0.340741788	0.317462681
7.74717881	-2.13365514
6.28149325	2.16581891
1.99067212	-0.59372381
6.91761613	0.701677742
3.29292157	1.49605911
9.66306336	2.33069568
6.41748599	2.12898159
9.61508914	2.40981008
9.37135515	2.72486275
6.02539907	1.91295821
9.00301147	1.37768318
6.90561445	0.641946169
2.88339435	1.19809949
8.67680942	-0.0390579999
6.62516745	1.32063295
6.69440452	1.34533912
9.67803165	1.81734684
1.596391	-1.15108907
0.0577736752	-0.0600484874
0.385648944	-0.128796584
4.08307038	-0.663698514
1.73428112	-1.10390713
8.72458944	0.417660318
0.0449071557	0.093228981
6.33589156	1.96788684
5.45278788	-0.0890162224
6.73391732	0.930681101
3.12729103	1.43742331
3.04297	1.50537306
5.78972451	1.06022898
0.316431329	0.141885241
3.51220188	1.1475516
3.67161485	0.933428841
9.76432545	1.83363597
1.31341986	-0.488954083
6.60658744	1.30247498
0.788220497	0.111180927
1.08751603	-0.407841633
4.68825241	-1.7578553
9.91218291	0.932094957
1.11018885	-0.208812141
9.49112503	2.35860311
4.63047874	-1.9605063
9.52653397	2.03020794
7.02711847	0.119247592
7.7568439	-2.00464103
5.90588929	1.62925671
9.48162681	2.34866279
0.691226906	0.162415313
2.30405602	-0.40960037
9.17197197	2.15585109
6.35433579	2.30217689
7.64825691	-1.92412105
6.51433151	1.94179671
8.85554064	0.801384585
2.84213391	1.01692051
3.97664206	-0.0222862059
6.75000606	1.33476216
7.54212078	-1.51328705
6.23554647	1.74981672
3.18842156	1.40886173
5.66249004	0.976858363
2.85386837	1.23924614
6.32336356	2.06130249
2.07823272	-0.359343358
6.17136501	2.06096493
8.22338963	-1.77035571
6.79682959	0.861556855
5.05111425	-1.54056514
8.41452111	-1.19869974
2.31750034	-0.177886998
7.31520277	-0.672379129
4.35988734	-0.928937779
6.11046508	1.85015617
3.14552837	1.53947913
0.960866987	-0.471959043
6.71163043	1.39147805
9.59613357	2.14918141
4.28998773	-1.4241577
8.11873308	-2.13687513
2.73498837	1.02747743
2.84612751	1.21274933
6.74786695	1.32220421
1.88318661	-0.739252559
